Data_Partition,Cluster_ID,Top_Keywords,Topic_Summarization,Number_of_Posts
part_a,0,"[{'term': 'trump', 'score': 2618.0}, {'term': 'coast', 'score': 1928.0}, {'term': 'guard', 'score': 1926.0}, {'term': 'commandant', 'score': 1004.0}, {'term': 'fagan', 'score': 1003.0}, {'term': 'hours', 'score': 914.0}, {'term': 'linda', 'score': 880.0}, {'term': 'administration', 'score': 857.0}, {'term': 'fired', 'score': 756.0}, {'term': 'house', 'score': 688.0}]","{'title': 'Trump Fires First Female Coast Guard Commandant', 'description': ""Admiral Linda Fagan, the first woman to lead a branch of the U.S. military, was abruptly fired and evicted from her home with only three hours' notice. The move, cited as punishment for her support of DEI policies, is seen as a politically motivated purge targeting women and diversity advocates in the military.""}",1269
part_a,1,"[{'term': 'trump', 'score': 1094.0}, {'term': 'supporting', 'score': 635.0}, {'term': 'true', 'score': 633.0}, {'term': 'headed', 'score': 633.0}, {'term': 'infection', 'score': 633.0}, {'term': 'pimple', 'score': 633.0}, {'term': 'white', 'score': 633.0}, {'term': 'youtube', 'score': 614.0}, {'term': 'video', 'score': 613.0}, {'term': 'meidastouch', 'score': 240.0}]","{'title': 'Trump Supporters Face Backlash and Consequences', 'description': 'These posts collectively depict a narrative of backlash against Trump supporters, highlighting perceived failures, scandals, and negative consequences of supporting Trump, including political embarrassment, economic fears, and social fallout.'}",635
part_a,2,"[{'term': 'trump', 'score': 1459.0}, {'term': 'boulos', 'score': 762.0}, {'term': 'massad', 'score': 633.0}, {'term': 'law', 'score': 570.0}, {'term': 'middle', 'score': 530.0}, {'term': 'father', 'score': 480.0}, {'term': 'adviser', 'score': 461.0}, {'term': 'tiffany', 'score': 459.0}, {'term': 'arab', 'score': 331.0}, {'term': 'east', 'score': 320.0}]","{'title': ""Trump's In-Law Middle East Advisor Controversy"", 'description': ""The posts center on widespread criticism of Donald Trump's appointment of Massad Boulos, his daughter Tiffany Trump's father-in-law, as senior adviser on Arab and Middle Eastern affairs. Critics highlight Boulos's lack of billionaire status, legal credentials, and relevant expertise, accusing Trump of nepotism and inflating his resume for political gain.""}",555
part_a,3,"[{'term': 'trump', 'score': 1457.0}, {'term': 'navarro', 'score': 1381.0}, {'term': 'peter', 'score': 1062.0}, {'term': 'prison', 'score': 545.0}, {'term': 'house', 'score': 505.0}, {'term': 'trade', 'score': 453.0}, {'term': 'adviser', 'score': 447.0}, {'term': 'contempt', 'score': 414.0}, {'term': 'white', 'score': 391.0}, {'term': 'congress', 'score': 325.0}]","{'title': 'Trump Reinstates Convicted Aide Navarro', 'description': 'Peter Navarro, convicted of contempt of Congress for defying a Jan. 6 committee subpoena, was sentenced to four months in prison and has now been reappointed by Donald Trump as Senior Counselor for Trade and Manufacturing, reigniting debate over accountability and loyalty within the Trump administration.'}",745
part_a,4,"[{'term': 'condoms', 'score': 1866.0}, {'term': 'trump', 'score': 1848.0}, {'term': 'gaza', 'score': 1356.0}, {'term': 'million', 'score': 974.0}, {'term': '50', 'score': 828.0}, {'term': 'hamas', 'score': 607.0}, {'term': 'bombs', 'score': 440.0}, {'term': 'sent', 'score': 323.0}, {'term': 'claim', 'score': 287.0}, {'term': '50m', 'score': 249.0}]","{'title': ""Trump's 'Condom Bombs' Lie Debunked"", 'description': ""Multiple fact-checks confirm that Donald Trump's claim of $50–100 million in U.S. funding for condoms to Hamas in Gaza is false. The funds were actually allocated for HIV/AIDS prevention in Gaza Province, Mozambique. Trump and his allies falsely conflated this with the Palestinian enclave, falsely alleging the condoms were used to make bombs.""}",1357
part_a,5,"[{'term': 'trump', 'score': 1805.0}, {'term': 'straws', 'score': 1753.0}, {'term': 'plastic', 'score': 1337.0}, {'term': 'paper', 'score': 1047.0}, {'term': 'order', 'score': 706.0}, {'term': 'executive', 'score': 535.0}, {'term': 'biden', 'score': 354.0}, {'term': 'president', 'score': 333.0}, {'term': 'donald', 'score': 292.0}, {'term': 'use', 'score': 286.0}]","{'title': ""Trump's Plastic Straw Executive Order"", 'description': ""The posts center on Donald Trump's announcement of an executive order reversing Biden-era efforts to phase out single-use plastics, including paper straws, in federal operations. The move is widely mocked as trivial and symbolic, highlighting perceived absurdity in prioritizing such a minor issue over pressing national concerns.""}",1228
part_a,6,"[{'term': 'trump', 'score': 1348.0}, {'term': 'impeachment', 'score': 851.0}, {'term': 'green', 'score': 644.0}, {'term': 'articles', 'score': 590.0}, {'term': 'al', 'score': 589.0}, {'term': 'gaza', 'score': 449.0}, {'term': 'impeach', 'score': 406.0}, {'term': 'rep', 'score': 348.0}, {'term': 'president', 'score': 312.0}, {'term': 'texas', 'score': 288.0}]","{'title': 'Impeachment Push Over Gaza Takeover Plan', 'description': 'Rep. Al Green has announced articles of impeachment against President Trump, citing his proposal to take over Gaza as a form of ethnic cleansing. The move is framed as a moral and constitutional response to what critics call dangerous and illegal policy threats.'}",612
part_a,7,"[{'term': 'energy', 'score': 1540.0}, {'term': 'trump', 'score': 1363.0}, {'term': 'wright', 'score': 1138.0}, {'term': 'chris', 'score': 946.0}, {'term': 'secretary', 'score': 840.0}, {'term': 'climate', 'score': 517.0}, {'term': 'oil', 'score': 470.0}, {'term': 'ceo', 'score': 431.0}, {'term': 'executive', 'score': 424.0}, {'term': 'fracking', 'score': 413.0}]","{'title': 'Trump Nominates Climate Denier as Energy Secretary', 'description': ""The posts center on widespread criticism of Donald Trump's nomination of Chris Wright, a fossil fuel executive and climate change skeptic, as Secretary of Energy. Critics highlight his denial of climate change, past controversial statements, and conflicts of interest, warning of a rollback on clean energy and environmental protections.""}",699
part_a,8,"[{'term': 'trump', 'score': 1138.0}, {'term': 'nunes', 'score': 518.0}, {'term': 'devin', 'score': 387.0}, {'term': 'president', 'score': 334.0}, {'term': 'intelligence', 'score': 332.0}, {'term': 'social', 'score': 298.0}, {'term': 'board', 'score': 280.0}, {'term': 'advisory', 'score': 246.0}, {'term': 'farm', 'score': 243.0}, {'term': 'truth', 'score': 222.0}]","{'title': ""Trump's Ethical Erosion vs. Carter's Integrity"", 'description': 'The posts contrast Jimmy Carter’s decision to sell his peanut farm to avoid conflicts of interest with Donald Trump’s continued profiting from his businesses, including Truth Social and crypto ventures, amid appointments like Devin Nunes to key intelligence roles. The recurring theme highlights a stark decline in presidential ethics and accountability.'}",626
part_a,9,"[{'term': 'trump', 'score': 5551.0}, {'term': 'center', 'score': 4668.0}, {'term': 'kennedy', 'score': 4529.0}, {'term': 'board', 'score': 2068.0}, {'term': 'chairman', 'score': 1604.0}, {'term': 'members', 'score': 1239.0}, {'term': 'president', 'score': 1072.0}, {'term': 'says', 'score': 1024.0}, {'term': 'arts', 'score': 972.0}, {'term': 'chair', 'score': 835.0}]","{'title': 'Trump Takes Over Kennedy Center', 'description': ""Posts express outrage over Donald Trump's announcement to fire the Kennedy Center's board and appoint himself chairman, warning it signals a dangerous politicization of American culture and a move toward authoritarian control of the arts.""}",3540
