Code_Name,Definition,Inclusion_Criteria,Exclusion_Criteria,Example_Excerpts,Number_of_Microtopics
White House And Presidential Administration,Focuses on appointments and actions within the Trump administration.,Apply when white house and presidential administration is central to the excerpt.,Do not apply when white house and presidential administration appears only in passing.,"{'title': ""Trump's In-Law Middle East Advisor Controversy"", 'description': ""The posts center on widespread criticism of Donald Trump's appointment of Massad Boulos, his daughter Tiffany Trump's father-in-law, as senior adviser on Arab and Middle Eastern affairs. Critics highlight Boulos's lack of billionaire status, legal credentials, and relevant expertise, accusing Trump of nepotism and inflating his resume for political gain.""}; {'title': ""Trump's Pattern of Token Black Appointments to HUD"", 'description': ""The posts critique Donald Trump's repeated selection of Black individuals for the Department of Housing and Urban Development (HUD), highlighting a perceived pattern of racial tokenism. Critics argue that Trump equates 'urban' with 'Black' and uses HUD as a symbolic 'diversity' checkbox, often appointing unqualified candidates while ignoring broader racial equity in his administration.""}; {'title': 'Trump Reinstates Convicted Aide Navarro', 'description': 'Peter Navarro, convicted of contempt of Congress for defying a Jan. 6 committee subpoena, was sentenced to four months in prison and has now been reappointed by Donald Trump as Senior Counselor for Trade and Manufacturing, reigniting debate over accountability and loyalty within the Trump administration.'}; {'title': 'Trump Appoints Kari Lake to Lead VOA', 'description': 'President-elect Donald Trump has nominated Kari Lake, a staunch Trump loyalist and election denier, to lead the Voice of America, raising concerns about the politicization of U.S. global media and the erosion of journalistic independence.'}; {'title': ""Trump's Ethical Erosion vs. Carter's Integrity"", 'description': 'The posts contrast Jimmy Carter’s decision to sell his peanut farm to avoid conflicts of interest with Donald Trump’s continued profiting from his businesses, including Truth Social and crypto ventures, amid appointments like Devin Nunes to key intelligence roles. The recurring theme highlights a stark decline in presidential ethics and accountability.'}",1859
Republican Party And Partisan Politics,Discusses Trump supporters and partisan backlash.,Apply when republican party and partisan politics is central to the excerpt.,Do not apply when republican party and partisan politics appears only in passing.,"{'title': 'Trump Supporters Face Backlash and Consequences', 'description': 'These posts collectively depict a narrative of backlash against Trump supporters, highlighting perceived failures, scandals, and negative consequences of supporting Trump, including political embarrassment, economic fears, and social fallout.'}; {'title': ""Outrage Over Trump's Return and MAGA Critics"", 'description': ""The posts express strong opposition to Donald Trump's return to power, criticizing his policies, rhetoric, and associations. Many highlight concerns about authoritarianism, hypocrisy within the GOP, and the perceived dangers of MAGA ideology, using satire, anger, and calls to action.""}; {'title': 'Trump Criticism and Conspiracy Rhetoric', 'description': ""The posts collectively express intense opposition to Donald Trump, using inflammatory language, conspiracy theories, and repeated references to 'KKKING TRUMP,' 'NAZI VANILLA ISIS DRONES,' and 'GLOBAL KKKARMA LOOMS.' They focus on accusations of racism, criminality, and moral decay, often linking Trump to broader political and cultural conspiracies.""}; {'title': ""Roy Cohn's Shadow Over Trump"", 'description': ""These posts explore the profound influence of Roy Cohn—homosexual, anti-Communist prosecutor, and mentor to Donald Trump—on Trump’s political tactics, personality, and worldview. The recurring theme is that Cohn’s 'attack, deny, claim victory' playbook laid the foundation for Trump’s rise and ongoing political behavior.""}; {'title': ""Trump's Nobel Peace Prize Controversy"", 'description': 'Posts critique Republican lawmakers and supporters who have nominated Donald Trump for the Nobel Peace Prize, mocking the idea given his controversial record, while highlighting the irony and absurdity of the claims amid widespread criticism from Nobel laureates and observers.'}",1269
Fascism Authoritarianism And Political Extremism,Depicts authoritarian rule and democratic collapse.,Apply when fascism authoritarianism and political extremism is central to the excerpt.,Do not apply when fascism authoritarianism and political extremism appears only in passing.,"{'title': 'Eldritch Tyranny and Political Apocalypse', 'description': 'The posts depict a dark, surreal political fantasy where authoritarian regimes, occult forces, and dystopian power struggles converge. Themes include fallen governments, infernal conspiracies, frozen despotism, and the collapse of democratic institutions under shadowy, otherworldly rule.'}; {'title': 'Trump Fires First Female Coast Guard Commandant', 'description': ""Admiral Linda Fagan, the first woman to lead a branch of the U.S. military, was abruptly fired and evicted from her home with only three hours' notice. The move, cited as punishment for her support of DEI policies, is seen as a politically motivated purge targeting women and diversity advocates in the military.""}; {'title': 'Trump Takes Over Kennedy Center', 'description': ""Posts express outrage over Donald Trump's announcement to fire the Kennedy Center's board and appoint himself chairman, warning it signals a dangerous politicization of American culture and a move toward authoritarian control of the arts.""}; {'title': ""Outrage Over Trump's Return and MAGA Critics"", 'description': ""The posts express strong opposition to Donald Trump's return to power, criticizing his policies, rhetoric, and associations. Many highlight concerns about authoritarianism, hypocrisy within the GOP, and the perceived dangers of MAGA ideology, using satire, anger, and calls to action.""}; {'title': 'Trump Criticism and Conspiracy Rhetoric', 'description': ""The posts collectively express intense opposition to Donald Trump, using inflammatory language, conspiracy theories, and repeated references to 'KKKING TRUMP,' 'NAZI VANILLA ISIS DRONES,' and 'GLOBAL KKKARMA LOOMS.' They focus on accusations of racism, criminality, and moral decay, often linking Trump to broader political and cultural conspiracies.""}",1217
News Media And Political Communication,Presents a narrative through posts and public reactions.,Apply when news media and political communication is central to the excerpt.,Do not apply when news media and political communication appears only in passing.,"{'title': 'Trump Supporters Face Backlash and Consequences', 'description': 'These posts collectively depict a narrative of backlash against Trump supporters, highlighting perceived failures, scandals, and negative consequences of supporting Trump, including political embarrassment, economic fears, and social fallout.'}; {'title': 'Trump Appoints Kari Lake to Lead VOA', 'description': 'President-elect Donald Trump has nominated Kari Lake, a staunch Trump loyalist and election denier, to lead the Voice of America, raising concerns about the politicization of U.S. global media and the erosion of journalistic independence.'}; {'title': ""Trump's 'Condom Bombs' Lie Debunked"", 'description': ""Multiple fact-checks confirm that Donald Trump's claim of $50–100 million in U.S. funding for condoms to Hamas in Gaza is false. The funds were actually allocated for HIV/AIDS prevention in Gaza Province, Mozambique. Trump and his allies falsely conflated this with the Palestinian enclave, falsely alleging the condoms were used to make bombs.""}; {'title': ""Trump's Plastic Straw Executive Order"", 'description': ""The posts center on Donald Trump's announcement of an executive order reversing Biden-era efforts to phase out single-use plastics, including paper straws, in federal operations. The move is widely mocked as trivial and symbolic, highlighting perceived absurdity in prioritizing such a minor issue over pressing national concerns.""}; {'title': ""Trump's Push to End Daylight Saving Time"", 'description': ""Posts center on Donald Trump's repeated calls to eliminate Daylight Saving Time, citing it as inconvenient and costly. The discussion includes reactions from supporters and critics, debates over permanent DST or standard time, and skepticism about Trump's motivations and understanding of the issue.""}",935
Courts Doj And Legal Accountability,Centers on impeachment and constitutional accountability for alleged wrongdoing.,Apply when courts doj and legal accountability is central to the excerpt.,Do not apply when courts doj and legal accountability appears only in passing.,"{'title': 'Impeachment Push Over Gaza Takeover Plan', 'description': 'Rep. Al Green has announced articles of impeachment against President Trump, citing his proposal to take over Gaza as a form of ethnic cleansing. The move is framed as a moral and constitutional response to what critics call dangerous and illegal policy threats.'}; {'title': 'Trump Fires Archivist Over Documents Case', 'description': ""Posts detail President Trump's dismissal of Archivist Colleen Shogan, citing retaliation over the National Archives' role in the classified documents investigation. Critics warn this undermines government transparency and historical accountability.""}; {'title': 'Tax Reform and Free Speech Controversies', 'description': 'This cluster centers on a mix of proposed tax legislation, including bills to expand deductions, modify charitable contributions, and reform energy and healthcare-related tax incentives, alongside high-profile political controversies involving free speech at LSU Law School, where a professor faced suspension over comments about Trump and the governor. The posts reflect broader ideological debates on fiscal policy, government transparency, and constitutional rights.'}; {'title': 'Trump Pauses Anti-Bribery Law Enforcement', 'description': ""A cluster of posts alleges that President Donald Trump signed an executive order pausing enforcement of the Foreign Corrupt Practices Act, a 1977 law banning U.S. companies from bribing foreign officials. Critics argue the move legalizes corruption, benefits Trump's business interests, and signals a broader embrace of unethical practices.""}; {'title': 'Trump Aide Accused of Pay-to-Play Scheme', 'description': 'A top adviser to President-elect Donald Trump, Boris Epshteyn, is under investigation for allegedly demanding monthly payments from potential cabinet nominees in exchange for lobbying on their behalf. The internal review found he used his proximity to Trump to profit personally, sparking calls for transparency and raising concerns about corruption in the transition. Epshteyn denies the allegations.'}",593
Tariffs Trade And Economic Policy,"Covers tax legislation, deductions, and fiscal policy reforms.",Apply when tariffs trade and economic policy is central to the excerpt.,Do not apply when tariffs trade and economic policy appears only in passing.,"{'title': 'Tax Reform and Free Speech Controversies', 'description': 'This cluster centers on a mix of proposed tax legislation, including bills to expand deductions, modify charitable contributions, and reform energy and healthcare-related tax incentives, alongside high-profile political controversies involving free speech at LSU Law School, where a professor faced suspension over comments about Trump and the governor. The posts reflect broader ideological debates on fiscal policy, government transparency, and constitutional rights.'}; {'title': 'Trump, Musk, and Milei: A Global Right-Wing Alliance', 'description': ""The posts highlight growing admiration among Trump and Musk for Argentina's President Javier Milei, whose radical austerity and libertarian policies are seen as a model for a potential second Trump administration. The cluster warns that Milei’s economic reforms—leading to soaring poverty and social unrest—may foreshadow a similar trajectory for the U.S. if Trump returns to power.""}; {'title': ""Trump's Obsession with William McKinley"", 'description': ""The posts critique Donald Trump's repeated praise of President William McKinley, highlighting his misrepresentation of McKinley's tariff policies and their role in causing economic hardship. The cluster underscores the irony and historical inaccuracy in Trump's admiration for a president whose legacy includes protectionism, imperialism, and eventual assassination.""}; {'title': ""Trump's 'Golden Age' vs. the Gilded Age"", 'description': ""The posts critique Donald Trump's repeated use of 'Golden Age' to describe his second presidency, highlighting the irony and danger in equating it with the 19th-century Gilded Age—marked by extreme wealth inequality, corporate greed, and worker exploitation. Critics argue this vision benefits the wealthy elite, not the working class.""}; {'title': 'Trump vs. Colombia: Tariff War Over Deportation Flights', 'description': 'A diplomatic standoff erupts between the U.S. and Colombia after President Gustavo Petro refused to accept deportation flights on military aircraft, prompting Trump to impose 25% tariffs. Colombia retaliated with higher tariffs, threatening coffee, flowers, and other key exports, sparking backlash over rising consumer prices and concerns about U.S. economic bullying.'}",292
Public Health Climate And Government Funding,"Concerns climate policy, clean energy, and environmental protections.",Apply when public health climate and government funding is central to the excerpt.,Do not apply when public health climate and government funding appears only in passing.,"{'title': 'Trump Nominates Climate Denier as Energy Secretary', 'description': ""The posts center on widespread criticism of Donald Trump's nomination of Chris Wright, a fossil fuel executive and climate change skeptic, as Secretary of Energy. Critics highlight his denial of climate change, past controversial statements, and conflicts of interest, warning of a rollback on clean energy and environmental protections.""}; {'title': ""Trump's Plan to Privatize USPS Sparks Outrage"", 'description': ""A cluster of posts expresses alarm over Donald Trump's reported intentions to privatize the U.S. Postal Service, criticizing the move as a threat to rural communities, democratic integrity, and public service. Many highlight Louis DeJoy’s controversial role as Trump-appointed Postmaster General and warn of systemic damage to mail delivery, elections, and workers’ rights.""}; {'title': 'Trump Blames DEI for Plane Crash Amid Safety Cuts', 'description': ""The posts condemn Donald Trump's unfounded claim that Diversity, Equity, and Inclusion (DEI) policies caused a deadly midair collision near Washington, DC. They highlight his administration's recent dismantling of aviation safety agencies, freezing of air traffic controller hiring, and firing of key officials as the real threats to aviation safety.""}; {'title': 'Trump and Musk Target CFPB', 'description': 'The Trump administration and Elon Musk are moving to dismantle the Consumer Financial Protection Bureau (CFPB), halting its operations and cutting funding. Critics argue this undermines consumer protections, especially for vulnerable Americans, while benefiting powerful corporations and billionaires.'}; {'title': 'Trump vs. NYC Congestion Pricing', 'description': ""The posts center on political and public backlash against Donald Trump's reported efforts to halt New York City's congestion pricing program, which has already shown benefits like reduced traffic and faster commutes. They highlight concerns over federal overreach, partisan opposition from New Jersey officials, and the policy's success as a climate and transit reform measure.""}",287
White House,Trump’s executive order uses presidential authority over file declassification.,Apply when white house is central to the excerpt.,Do not apply when white house appears only in passing.,"{'title': ""Trump's JFK Files Release: A Distraction?"", 'description': ""Trump signed an executive order to declassify files on the assassinations of JFK, RFK, and MLK Jr., but critics argue it's a strategic move to divert attention from unredacted documents, particularly the Epstein files, which remain withheld due to potential implications for Trump himself.""}; {'title': ""Trump's Mocked Davos Speech"", 'description': ""Donald Trump's virtual address to the World Economic Forum in Davos drew widespread mockery and criticism from global elites, journalists, and observers for his false claims, bombastic rhetoric, and perceived economic illiteracy. The event highlighted a stark divide between Trump's 'America First' message and the international consensus on global cooperation and economic policy.""}; {'title': ""Trump's Outrage Over Half-Mast Flags for Carter"", 'description': ""The posts express widespread criticism of Donald Trump's anger over U.S. flags being flown at half-staff for 30 days following the death of former President Jimmy Carter, coinciding with Trump's second inauguration. Many view his reaction as narcissistic and disrespectful, contrasting it with Carter's humility and legacy.""}; {'title': 'Trump and Musk Target USAID Amid Global Aid Crisis', 'description': 'The Trump administration, backed by Elon Musk, has frozen nearly all foreign aid funding and recalled USAID staff worldwide, sparking global humanitarian concerns. Critics argue the move undermines U.S. soft power, endangers lives, and benefits adversaries like China and Russia.'}; {'title': ""Trump's Security Detail Controversy"", 'description': ""The posts center on public outrage over former President Trump's continued Secret Service protection, questioning the fairness, cost, and political motivations behind it. Many argue he should pay for his own security or lose it entirely, especially given his past actions and rhetoric.""}",251
Immigration Ice And Deportation Policy,Cooperation on immigration enforcement and sanctuary policy implications.,Apply when immigration ice and deportation policy is central to the excerpt.,Do not apply when immigration ice and deportation policy appears only in passing.,"{'title': 'Adams Under Indictment, Seeking Trump Pardon', 'description': ""New York City Mayor Eric Adams, facing federal corruption charges, has drawn intense scrutiny for cultivating ties with Donald Trump, raising concerns about political quid pro quo. Posts allege he may be trading cooperation on immigration and law enforcement for a potential pardon, undermining NYC's sanctuary policies and democratic integrity.""}; {'title': ""Trump and Musk's Eugenics Rhetoric"", 'description': 'The posts expose a pattern of racist and pseudoscientific rhetoric from Donald Trump and Elon Musk, framing immigration, intelligence, and morality through a distorted lens of genetic determinism. Critics argue this reflects a dangerous revival of eugenics, rooted in white supremacy and anti-science ideology.'}; {'title': 'Democrats Divided Over Laken Riley Act', 'description': 'The posts critique the passage and signing of the Laken Riley Act, a controversial immigration bill named after a murdered nursing student. Many condemn the law for enabling indefinite detention of undocumented immigrants, undermining due process, and exploiting a tragedy for political gain, especially as 48 Democrats voted in favor, sparking outrage over perceived betrayal of progressive values.'}; {'title': ""Trump's Wall Promises vs. Reality"", 'description': ""The posts critique Donald Trump's repeated claims about building a border wall with Mexico paying for it, highlighting the discrepancy between his campaign promises and the actual construction, which largely involved repairs and replacements rather than new barriers. Many emphasize the failure to secure funding from Mexico and the use of taxpayer money instead.""}; {'title': 'Trump vs. Colombia: Tariff War Over Deportation Flights', 'description': 'A diplomatic standoff erupts between the U.S. and Colombia after President Gustavo Petro refused to accept deportation flights on military aircraft, prompting Trump to impose 25% tariffs. Colombia retaliated with higher tariffs, threatening coffee, flowers, and other key exports, sparking backlash over rising consumer prices and concerns about U.S. economic bullying.'}",230
News Media,Public discussion and satire surrounding Trump's Hannibal Lecter references.,Apply when news media is central to the excerpt.,Do not apply when news media appears only in passing.,"{'title': ""Trump's Obsession with Hannibal Lecter"", 'description': ""The posts revolve around Donald Trump's repeated, bizarre references to the fictional serial killer Hannibal Lecter during campaign speeches, sparking widespread confusion and satire. Many interpret his comments as a misinformed conflation of 'asylum' seekers with mental asylums, revealing deeper concerns about his grasp of reality and rhetoric.""}; {'title': ""Trump's Obsession with Arnold Palmer's Genitalia"", 'description': ""A cluster of posts highlights Donald Trump's repeated, vulgar remarks at rallies about the size of late golfer Arnold Palmer's penis, sparking widespread mockery and criticism. The posts also emphasize Palmer’s daughter's condemnation of Trump’s behavior and her father’s disdain for him.""}; {'title': ""Trump's Mocked Davos Speech"", 'description': ""Donald Trump's virtual address to the World Economic Forum in Davos drew widespread mockery and criticism from global elites, journalists, and observers for his false claims, bombastic rhetoric, and perceived economic illiteracy. The event highlighted a stark divide between Trump's 'America First' message and the international consensus on global cooperation and economic policy.""}; {'title': ""Trump's Outrage Over Half-Mast Flags for Carter"", 'description': ""The posts express widespread criticism of Donald Trump's anger over U.S. flags being flown at half-staff for 30 days following the death of former President Jimmy Carter, coinciding with Trump's second inauguration. Many view his reaction as narcissistic and disrespectful, contrasting it with Carter's humility and legacy.""}; {'title': 'Polymarket Election Betting & FBI Raid Controversy', 'description': 'A cluster of posts discusses the controversy surrounding Polymarket, a prediction market that accurately forecast a Trump victory, leading to an FBI raid on its CEO’s home. Many users speculate about market manipulation, wealthy donors influencing odds, and the political implications of betting markets shaping public perception of the election.'}",189
