Code_Name,Definition,Inclusion_Criteria,Exclusion_Criteria,Example_Excerpts,Frequency_Count
Public Admin,Creation of a federal task force to coordinate Olympic planning.,Apply when public admin is central to the excerpt.,Do not apply when public admin appears only in passing.,"Establishing the White House Task Force on the 2028 Summer Olympics; Preventing Woke AI in the Federal Government; President's Council on Sports, Fitness, and Nutrition, and the Reestablishment of the Presidential Fitness Test; Revocation of Certain Executive Orders; Extending the TikTok Enforcement Delay",62
International Affairs,Policy concerning relations with Syria and foreign sanctions.,Apply when international affairs is central to the excerpt.,Do not apply when international affairs appears only in passing.,Providing for the Revocation of Syria Sanctions; Transparency Regarding Foreign Influence at American Universities; Strengthening Efforts To Protect U.S. Nationals From Wrongful Detention Abroad; Putting America First in International Environmental Agreements; Amendment to Duties Addressing the Synthetic Opioid Supply Chain in the People's Republic of China,38
Law Crime,Focuses on crime and public disorder in streets.,Apply when law crime is central to the excerpt.,Do not apply when law crime appears only in passing.,Ending Crime and Disorder on America's Streets; Amendment to Duties To Address the Flow of Illicit Drugs Across Our Northern Border; Restoring the Death Penalty and Protecting Public Safety; Amendment to Duties Addressing the Synthetic Opioid Supply Chain in the People's Republic of China; Further Amendment to Duties Addressing the Synthetic Opioid Supply Chain in the People's Republic of China,30
Defense,National security concerns involving critical minerals and derivative products.,Apply when defense is central to the excerpt.,Do not apply when defense appears only in passing.,Ensuring National Security and Economic Resilience Through Section 232 Actions on Processed Critical Minerals and Derivative Products; Clarifying the Military's Role in Protecting the Territorial Integrity of the United States; Deploying Advanced Nuclear Reactor Technologies for National Security; Modernizing Defense Acquisitions and Spurring Innovation in the Defense Industrial Base; Restoring American Airspace Sovereignty,28
Trade,Promotes exporting American technology abroad.,Apply when trade is central to the excerpt.,Do not apply when trade appears only in passing.,Promoting the Export of the American AI Technology Stack; Modifying Reciprocal Tariff Rates To Reflect Discussions With the People's Republic of China; Addressing Certain Tariffs on Imported Articles; Regulating Imports With a Reciprocal Tariff To Rectify Trade Practices That Contribute to Large and Persistent Annual United States Goods Trade Deficits; Imposing Tariffs on Countries Importing Venezuelan Oil,17
Commerce,Refers to an investment-focused economic initiative.,Apply when commerce is central to the excerpt.,Do not apply when commerce appears only in passing.,"Establishing the United States Investment Accelerator; Revocation of Executive Order on Competition; Enabling Competition in the Commercial Space Industry; Addressing Security Risks From Price Fixing and Anti-Competitive Behavior in the Food Supply Chain; Ensuring Commercial, Cost-Effective Solutions in Federal Contracts",15
Science Technology,Focuses on American AI technology stack.,Apply when science technology is central to the excerpt.,Do not apply when science technology appears only in passing.,Promoting the Export of the American AI Technology Stack; Improving the Safety and Security of Biological Research; President's Council of Advisors on Science and Technology; Reforming Nuclear Reactor Testing at the Department of Energy; Restoring Gold Standard Science,15
Civil Rights,Focuses on equality of opportunity and merit-based treatment.,Apply when civil rights is central to the excerpt.,Do not apply when civil rights appears only in passing.,Restoring Equality of Opportunity and Meritocracy; Defending Women From Gender Ideology Extremism and Restoring Biological Truth to the Federal Government; Ending Illegal Discrimination and Restoring Merit-Based Opportunity; Protecting the Meaning and Value of American Citizenship; Restoring Freedom of Speech and Ending Federal Censorship,13
Education,Concerns universities and their operations.,Apply when education is central to the excerpt.,Do not apply when education appears only in passing.,Transparency Regarding Foreign Influence at American Universities; Advancing Artificial Intelligence Education for American Youth; White House Initiative To Promote Excellence and Innovation at Historically Black Colleges and Universities; Expanding Educational Freedom and Opportunity for Families; Ending Radical Indoctrination in K-12 Schooling,13
Health,Reproductive healthcare access and fertility treatment coverage.,Apply when health is central to the excerpt.,Do not apply when health appears only in passing.,Expanding Access to In Vitro Fertilization; Increasing Medical Marijuana and Cannabidiol Research; Accelerating Medical Treatments for Serious Mental Illness; Addressing Addiction Through the Great American Recovery Initiative; Delivering Most-Favored-Nation Prescription Drug Pricing to American Patients,13
Energy,Focuses on developing or expanding resource-based energy potential.,Apply when energy is central to the excerpt.,Do not apply when energy appears only in passing.,Unleashing Alaska's Extraordinary Resource Potential; Establishing the National Energy Dominance Council; Declaring a National Energy Emergency; Reinvigorating the Nuclear Industrial Base; Unleashing America's Offshore Critical Minerals and Resources,11
Immigration,Border security and border control related to immigration.,Apply when immigration is central to the excerpt.,Do not apply when immigration appears only in passing.,Securing Our Borders; Progress on the Situation at Our Southern Border; Ending Taxpayer Subsidization of Open Borders; Realigning the United States Refugee Admissions Program; Protecting American Communities From Criminal Aliens,8
Labor,Focuses on skilled trade jobs and workforce preparation.,Apply when labor is central to the excerpt.,Do not apply when labor appears only in passing.,Preparing Americans for High-Paying Skilled Trade Jobs of the Future; Promoting Retirement-Savings Access for American Workers by Establishing TrumpIRA.gov; Further Exclusions From the Federal Labor- Management Relations Program; Exclusions From Federal Labor-Management Relations Programs; Establishing an Emergency Board To Investigate Disputes Between the Long Island Rail Road Company and Certain of Its Employees Represented by Certain Labor Organizations,6
Transportation,References road rules for truck drivers.,Apply when transportation is central to the excerpt.,Do not apply when transportation appears only in passing.,Enforcing Commonsense Rules of the Road for America's Truck Drivers; Restoring America's Maritime Dominance; Establishing an Emergency Board To Investigate Disputes Between the Long Island Rail Road Company and Certain of Its Employees Represented by Certain Labor Organizations; Establishing a Second Emergency Board To Investigate Disputes Between the Long Island Rail Road Company and Certain of Its Employees Represented by Certain Labor Organizations,4
Environment,Focuses on beautification and environmental stewardship initiatives.,Apply when environment is central to the excerpt.,Do not apply when environment appears only in passing.,Establishing the President's Make America Beautiful Again Commission; Putting America First in International Environmental Agreements; Empowering Commonsense Wildfire Prevention and Response,3
Housing,Focuses on reducing regulations to make home construction cheaper.,Apply when housing is central to the excerpt.,Do not apply when housing appears only in passing.,Removing Regulatory Barriers to Affordable Home Construction; Stopping Wall Street From Competing With Main Street Homebuyers; Promoting Access to Mortgage Credit,3
Public Lands,Focuses on national parks and beautifying public lands.,Apply when public lands is central to the excerpt.,Do not apply when public lands appears only in passing.,Making America Beautiful Again by Improving Our National Parks; Immediate Expansion of American Timber Production,2
Macro Economy,Economic resilience through trade-related Section 232 actions.,Apply when macro economy is central to the excerpt.,Do not apply when macro economy appears only in passing.,Ensuring National Security and Economic Resilience Through Section 232 Actions on Processed Critical Minerals and Derivative Products; A Plan for Establishing a United States Sovereign Wealth Fund,2
Science Tech,Concerns artificial intelligence and technological development.,Apply when science tech is central to the excerpt.,Do not apply when science tech appears only in passing.,Advancing Artificial Intelligence Education for American Youth,1
Social Welfare,Supports children and families through general wellbeing and assistance.,Apply when social welfare is central to the excerpt.,Do not apply when social welfare appears only in passing.,Fostering the Future for American Children and Families,1
Sports Heritage,Preserving baseball as an important American cultural tradition.,Apply when sports heritage is central to the excerpt.,Do not apply when sports heritage appears only in passing.,Preserving America's Game,1
Water Resources,Measures to provide water resources in California.,Apply when water resources is central to the excerpt.,Do not apply when water resources appears only in passing.,Emergency Measures To Provide Water Resources in California and Improve Disaster Response in Certain Areas,1
Disaster Response,Improving response to disasters in certain areas.,Apply when disaster response is central to the excerpt.,Do not apply when disaster response appears only in passing.,Emergency Measures To Provide Water Resources in California and Improve Disaster Response in Certain Areas,1
Culture Promotion,Promotes national pride through motor racing.,Apply when culture promotion is central to the excerpt.,Do not apply when culture promotion appears only in passing.,Celebrating American Greatness With American Motor Racing,1
