signing_date,publication_date,executive_order_number,title,Generated_Initial_Codes,Finalized_Theme_Name,Theme_Confidence_Score,citation,document_number,end_page,html_url,pdf_url,type,subtype,start_page,disposition_notes,not_received_for_publication
2025-01-20,2025-01-28,14149,Restoring Freedom of Speech and Ending Federal Censorship,Civil Rights,"Civil Rights, Equality, and Gender Policy",1,90 FR 8243,2025-01902,8244,https://www.federalregister.gov/documents/2025/01/28/2025-01902/restoring-freedom-of-speech-and-ending-federal-censorship,https://www.govinfo.gov/content/pkg/FR-2025-01-28/pdf/2025-01902.pdf,Presidential Document,Executive Order,8243,"See: EO 14239, March 18, 2025",
2025-01-20,2025-01-28,14147,Ending the Weaponization of the Federal Government,Public Admin,Executive Coordination and Administrative Task Forces,1,90 FR 8235,2025-01900,8236,https://www.federalregister.gov/documents/2025/01/28/2025-01900/ending-the-weaponization-of-the-federal-government,https://www.govinfo.gov/content/pkg/FR-2025-01-28/pdf/2025-01900.pdf,Presidential Document,Executive Order,8235,"See: EO 14230, March 6, 2025; EO 14237, March 14, 2025; EO 14246, March 25, 2025; EO 14263, April 9, 2025",
2025-01-20,2025-01-28,14148,Initial Rescissions of Harmful Executive Orders and Actions,Public Admin,Executive Coordination and Administrative Task Forces,1,90 FR 8237,2025-01901,8241,https://www.federalregister.gov/documents/2025/01/28/2025-01901/initial-rescissions-of-harmful-executive-orders-and-actions,https://www.govinfo.gov/content/pkg/FR-2025-01-28/pdf/2025-01901.pdf,Presidential Document,Executive Order,8237,"Revokes: EO 13985, January 20, 2021; EO 13986, January 20, 2021; EO 13987, January 20, 2021; EO 13988, January 20, 2021; EO 13989, January 20, 2021; EO 13990, January 20, 2021; EO 13992, January 20, 2021; EO 13993, January 20, 2021; EO 13995, January 21, 2021; EO 13996, January 21, 2021; EO 13997, January 21, 2021; EO 13999, January 21, 2021; EO 14000, January 21, 2021; EO 14002, January 22, 2021; EO 14003, January 22, 2021; EO 14004, January 25, 2021; EO 14006, January 26, 2021; EO 14007, January 27, 2021; EO 14008, January 27, 2021; EO 14009, January 28, 2021; EO 14010, February 2, 2021; EO 14011, February 2, 2021; EO 14012, February 2, 2021; EO 14013, February 4, 2021; EO 14015, February 14, 2021; EO 14018, February 24, 2021; EO 14019, March 7, 2021; EO 14020, March 8, 2021; EO 14021, March 8, 2021; EO 14022, April 1, 2021; EO 14023, April 9, 2021; EO 14027, May 7, 2021; EO 14029, May 14, 2021; EO 14030, May 20, 2021; EO 14031, May 28, 2021; EO 14035, June 25, 2021; EO 14037, August 5, 2021; EO 14044; EO 14045, September 13, 2021; EO 14049, October 11, 2021; EO 14050, October 19, 2021; EO 14052, November 15, 2021; EO 14055, November 18, 2021; EO 14057, December 8, 2021; EO 14060, December 15, 2021; EO 14069, March 15, 2022; EO 14070, April 5, 2022; EO 14074, May 25, 2022; EO 14075, June 15, 2022; EO 14082, September 12, 2022; EO 14084, September 30, 2022; EO 14087, October 14, 2022; EO 14089, December 13, 2022; EO 14091, February 16, 2023; Memo. of March 13, 2023; EO 14094, April 6, 2023; EO 14096, April 21, 2023; EO 14099, May 9, 2023; EO 14110, October 30, 2023; EO 14115, February 1, 2024; EO 14124, July 17, 2024; EO 14134, January 3, 2025; EO 14135, January 3, 2025; EO 14136, January 3, 2025; EO 14137, January 3, 2025; EO 14138, January 3, 2025; EO 14139, January 3, 2025; Memo. of January 3, 2025; Memo. of January 3, 2025; Memo. of January 3, 2025; Memo. of January 3, 2025; Memo. of January 3, 2025; Memo. of January 3, 2025; Memo. of January 6, 2025; Memo. of January 6, 2025; Memo. of January 14, 2025; Memo. of January 14, 2025; EO 14143, January 16, 2025
 See: EO 14183, January 27, 2025; EO 14248, March 25, 2025; Memo of July 15, 2025; Notice of March 24, 2026 (91 FR 15511)",
2025-01-20,2025-01-29,14151,Ending Radical and Wasteful Government DEI Programs and Preferencing,Public Admin,"Civil Rights, Equality, and Gender Policy",1,90 FR 8339,2025-01953,8341,https://www.federalregister.gov/documents/2025/01/29/2025-01953/ending-radical-and-wasteful-government-dei-programs-and-preferencing,https://www.govinfo.gov/content/pkg/FR-2025-01-29/pdf/2025-01953.pdf,Presidential Document,Executive Order,8339,,
2025-01-20,2025-01-29,14153,Unleashing Alaska's Extraordinary Resource Potential,Energy,Energy Development and Resource Expansion,1,90 FR 8347,2025-01955,8351,https://www.federalregister.gov/documents/2025/01/29/2025-01955/unleashing-alaskas-extraordinary-resource-potential,https://www.govinfo.gov/content/pkg/FR-2025-01-29/pdf/2025-01955.pdf,Presidential Document,Executive Order,8347,,
2025-01-20,2025-01-29,14160,Protecting the Meaning and Value of American Citizenship,Civil Rights,"Civil Rights, Equality, and Gender Policy",1,90 FR 8449,2025-02007,8450,https://www.federalregister.gov/documents/2025/01/29/2025-02007/protecting-the-meaning-and-value-of-american-citizenship,https://www.govinfo.gov/content/pkg/FR-2025-01-29/pdf/2025-02007.pdf,Presidential Document,Executive Order,8449,,
2025-01-20,2025-01-29,14156,Declaring a National Energy Emergency,Energy,Energy Development and Resource Expansion,1,90 FR 8433,2025-02003,8437,https://www.federalregister.gov/documents/2025/01/29/2025-02003/declaring-a-national-energy-emergency,https://www.govinfo.gov/content/pkg/FR-2025-01-29/pdf/2025-02003.pdf,Presidential Document,Executive Order,8433,"See: EO 14193, February 1, 2025; EO 14262, April 8, 2025; EO 14301, May 23, 2025; Notice of January 12, 2026 (91 FR 1661); EO 14386, February 11, 2026; Presidential Determination 2026-08, April 20, 2026; Presidential Determination 2026-09, April 20, 2026; Presidential Determination 2026-10, April 20, 2026; Presidential Determination 2026-11, April 20, 2026; Presidential Determination 2026-12, April 20, 2026",
2025-01-20,2025-01-29,14150,America First Policy Directive to the Secretary of State,International Affairs,Foreign Policy and External Relations,1,90 FR 8337,2025-01952,8337,https://www.federalregister.gov/documents/2025/01/29/2025-01952/america-first-policy-directive-to-the-secretary-of-state,https://www.govinfo.gov/content/pkg/FR-2025-01-29/pdf/2025-01952.pdf,Presidential Document,Executive Order,8337,"See: EO 13985, January 20, 2021; Memo of July 15, 2025",
2025-01-20,2025-01-29,14152,Holding Former Government Officials Accountable for Election Interference and Improper Disclosure of Sensitive Governmental Information,Law Crime,"Public Order, Crime, and Border Enforcement",1,90 FR 8343,2025-01954,8346,https://www.federalregister.gov/documents/2025/01/29/2025-01954/holding-former-government-officials-accountable-for-election-interference-and-improper-disclosure-of,https://www.govinfo.gov/content/pkg/FR-2025-01-29/pdf/2025-01954.pdf,Presidential Document,Executive Order,8343,,
2025-01-20,2025-01-29,14154,Unleashing American Energy,Energy,Energy Development and Resource Expansion,1,90 FR 8353,2025-01956,8359,https://www.federalregister.gov/documents/2025/01/29/2025-01956/unleashing-american-energy,https://www.govinfo.gov/content/pkg/FR-2025-01-29/pdf/2025-01956.pdf,Presidential Document,Executive Order,8353,"Revokes: EO 11991, May 24, 1977; EO 13990, January 20, 2021; EO 13992, January 20, 2021; EO 14008, January 27, 2021; EO 14007, January 27, 2021; EO 14013, February 4, 2021; EO 14027, May 7, 2021; EO 14030, May 20, 2021; EO 14037, August 5, 2021; EO 14057, December 8, 2021; EO 14072, April 22, 2022; EO 14082, September 12, 2022; EO 14096, April 21, 2023
 See: Memo. of January 27, 2021; EO 14300, May 23, 2025; EO 14301, May 23, 2025; EO 14303, May 23, 2025",
